Title,Author,Year,Publisher,Genre,Series,Format,Pages,ISBN,Edition,Printing,Value,Rarity,Rating,Condition,Summary,Signed,Status
Babylon Rising,Tim LaHaye & Greg Dinallo,2003,Bantam Dell,Christian Suspense,Babylon Rising,Hardcover,,0-553-80322-0,First Edition,First printing,$10,Common; first edition hardcover from a large bestseller print run with abundant used copies in circulation,8.2,Very Good | hasDJ: hardcover with matching dust jacket showing light wear,"Biblical archaeologist Michael Murphy travels to the ancient city of Babylon to decipher Daniel's prophecy of the Handwriting on the Wall, a discovery that draws him into a confrontation with forces of ultimate evil. First entry in Tim LaHaye's Babylon Rising series.",No,
Battlestar Galactica,Glen A. Larson and Robert Thurston,1978,"Berkley Publishing Corporation, New York, NY",Science Fiction / Media Tie-In,Battlestar Galactica,Hardcover with dust jacket,0,,First Edition,1978,$25,Uncommon; collectible for science fiction and TV tie-in collectors,0,"Near Fine, protectedDJ | Near Fine; hardcover; dust jacket with only slight wear, protected in plastic","A novelization of the original 1978 Battlestar Galactica television series pilot, adapted by Glen A. Larson and Robert Thurston. Captures the epic tale of humanity's flight from the Cylon tyranny in search of Earth.",,Own
Beyond Sanctuary,Janet Morris,1985,"Baen Books (Distributed by Simon and Schuster), New York",Fantasy / Sword and Sorcery,"Thieves' World: Beyond, Book 1",Paperback with dust jacket,0,0-671-55957-5,First Edition,First Printing (full number line to 2),$12,"Common; widely available Baen paperback, not scarce",7.78,"Very Fine, hasDJ | Great condition; shelf wear and minor fraying/cracking on dust jacket corners","First novel-length entry in Janet Morris's Sacred Band of Stepsons trilogy set beyond the Thieves' World shared universe, following Tempus and his mercenary company north to confront the archmage Datan at the foot of Wizardwall.",,Own
Beyond the Veil,Janet Morris,1985,"Baen Books (Distributed by Simon and Schuster), New York",Fantasy / Sword and Sorcery,"Thieves' World: Beyond, Book 2",Paperback with dust jacket,0,,First Edition text,Science Fiction Book Club Edition,$8,"Common; book club edition, lower collector value than a trade first printing",8.12,"Very Fine, hasDJ, bce | Great condition; shelf wear and minor fraying/cracking on dust jacket corners","Second novel in Janet Morris's Sacred Band of Stepsons trilogy, in which Tempus leads his Stepsons into the witch-plagued city of Tyse to combat the sorceress Roxane and her demonic allies. This copy is a Science Fiction Book Club edition rather than the standard trade printing.",,Own
Beyond Wizardwall,Janet Morris,1986,"Baen Books (Distributed by Simon and Schuster), New York",Fantasy / Sword and Sorcery,"Thieves' World: Beyond, Book 3",Paperback with dust jacket,0,0-671-65544-2,First Edition,"First Printing, June 1986 (full number line to 2)",$12,"Common; widely available Baen paperback, not scarce",8.06,"Very Fine, hasDJ | Great condition; shelf wear and minor fraying/cracking on dust jacket corners","Concluding novel of Janet Morris's Sacred Band of Stepsons trilogy, following Tempus and his Stepsons through their final confrontation with Death's Queen, the witch Roxane.",,Own
Black Wolf,Dale Brown & Jim DeFelice,2010,Harper,Techno-Thriller,Dreamland,Paperback,480,978-0-06-171301-9,First Harper premium printing,December 2010,,Common; mass market paperback with abundant used copies in circulation,8.2,Good | noDJ: mass market paperback with wear consistent with reading copy,"A covert Russian program of genetically enhanced assassins known as the Wolves threatens to disrupt a NATO summit, forcing the Whiplash team to confront a killer Danny Freah believed died over a decade earlier. Twelfth entry in Dale Brown's Dreamland series.",No,
Blackbeard's Cup and Stories of the Outer Banks,Charles Harry Whedbee,1989,"John F. Blair, Publisher",Folklore,,Hardcover,,0895870703,,Seventh Printing,$12.00,Common; a regional folklore title in print for decades with abundant surviving copies,78,"Near Fine: light wear, hasDJ | dust jacket Fair: heavy wear, edge/corner wear","A collection of sixteen North Carolina Outer Banks folk tales and legends gathered by Judge Whedbee, including the story of Blackbeard's silver-plated skull cup.",No,Own
Bleachers,John Grisham,2003,"Doubleday, New York",Sports Fiction / Small-Town Drama,,Hardcover,163,0-385-51161-2,First Edition,"First Printing, October 2003 (number line to 2)",$10,"Common; widely printed bestseller, not scarce",7.06,"Very Fine, hasDJ | Very Fine book; Good dust jacket","A departure from Grisham's legal thrillers, this novel follows former high school football star Neely Crenshaw as he returns to his hometown of Messina for the funeral of his controversial former coach, Eddie Rake, prompting reflection on glory, forgiveness, and the price of a small town's football obsession.",,Own
Breath of Oblivion,Maurice Broaddus,2024,Tor Publishing Group,Fiction,Astra Black,Hardcover,400,1250265126,First Edition,1st Printing,,Common; a very recent release with a large first printing and abundant new copies still in circulation,76,"Fine: near new condition, hasDJ, protectedDJ","Second novel in Broaddus's Afrofuturist Astra Black trilogy, following members of the Muungano Empire as they face renewed threats from alien forces and internal fractures across the solar system.",No,Own
Calico Joe,John Grisham,2012,"Doubleday, New York",Sports Fiction / Family Drama,,Hardcover,208,978-0-385-53607-3,First Edition,First Printing (number line to 2),$9,"Common; widely printed bestseller, not scarce",7.78,"Very Fine, hasDJ | Very Fine book; Good dust jacket","Grisham's baseball novel follows Paul Tracey as he recalls the meteoric rise of rookie phenom Joe Castle for the 1973 Chicago Cubs, and the fateful pitch thrown by Paul's own father, Mets pitcher Warren Tracey, that ended Joe's career — setting up a present-day reckoning of guilt and forgiveness.",,Own
Chains of Command,Dale Brown,1993,G.P. Putnam's Sons,Techno-Thriller,Independent,Hardcover,479,0-399-13822-6,First Edition,First printing,$15,Uncommon; first edition hardcover with matching dust jacket in the used book market,7.9,Very Good | hasDJ: hardcover with matching dust jacket showing light wear,"When a hardline Russian leader moves to reclaim former Soviet republics, Lt. Col. Daren Mace returns to the cockpit of an RF-111G bomber alongside pilot Rebecca Furness as the two are drawn into a war that threatens to escalate to nuclear conflict.",No,
Christine,Stephen King,1983,Viking Press,Horror,,Hardcover,526,978-0-670-22026-7,First Edition,First Printing,$95,Uncommon; collectible modern horror King first edition,7.5,"Very Fine, hasDJ | Very Fine (VF): Excellent condition; light wear to dust jacket",A malevolent 1958 Plymouth Fury named Christine begins to consume and transform her owner Arnie Cunningham in this chilling supernatural horror novel.,No,Own
Clarissa Oakes,Patrick O'Brian,1992,"HarperCollins Publishers Limited, London",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 15",Paperback,278,0-00-649930-9,Paperback Edition,"This Paperback Edition, 1997 (number line to 4)",$6,"Common; widely printed installment in a major historical fiction series, not scarce",8.48,"Near Fine, noDJ | Near Fine; trade paperback, no dust jacket as issued","Fifteenth novel in the Aubrey-Maturin series, in which Captain Jack Aubrey sails the Surprise to the South Seas to restore order after a British whaler is captured, discovering an escaped female convict stowed away aboard whose presence unsettles the ship's closed, celibate community. Published in the United States as The Truelove. Cover art by Geoff Hunt.",,Own
Collateral Damage,Dale Brown & Jim DeFelice,2012,Harper,Techno-Thriller,Dreamland,Paperback,496,978-0-06-171303-3,First Harper premium printing,December 2012,,Common; mass market paperback with abundant used copies in circulation,8.4,Good | noDJ: mass market paperback with wear consistent with reading copy,"When a computer-controlled UAV drone goes rogue over Libya during a NATO intervention, the Whiplash team scrambles to contain the fallout while an enemy manipulates the chaos for revenge. Fourteenth entry in Dale Brown's Dreamland series.",No,
Comet,Carl Sagan; Ann Druyan,1985,Random House,Popular Science / Astronomy,,Hardcover,398,9780394549082,First Edition,First Printing,$150,Uncommon; first edition in excellent condition,8.8,"Fine, hasDJ | Fine (slight wear to dust jacket)","Explores the science, history, and cultural significance of comets.",,Own
Comet,Carl Sagan; Ann Druyan,1985,"Random House, New York",Science / Astronomy / Popular Science,,Hardcover with dust jacket,398,0-394-54908-2,First Edition,First Printing,$20,"Common; large print run timed to Halley's Comet return, widely available",,"Great shape, shelf worn dust jacket | hasDJ","Illustrated exploration of comets, covering their scientific nature, history, mythology, and their possible role in shaping planetary and human history, published ahead of Halley's Comet's 1986 return",,Own
Conspirata: A Novel of Ancient Rome,Robert Harris,2010,Simon & Schuster,Fiction,Cicero Trilogy,Hardcover,340,0743266102,First Edition,1st Printing,$8.00,Common; a widely distributed first-edition title with abundant surviving copies,82,"Near Fine: light wear, hasDJ, protectedDJ","Second novel in Harris's Cicero trilogy, narrated by Cicero's secretary Tiro, following the statesman's turbulent consulship amid political intrigue and a plot against his life in ancient Rome.",No,Own
Cosmos,Carl Sagan,1980,"Random House, New York",Science / Astronomy / Popular Science,,Hardcover with dust jacket,365,0-394-50294-9,First Edition,Sixth Printing,$10,"Common; massive original print run and many printings, widely available secondhand",9.06,"Great shape, lightly shelf worn dust jacket, more wear at top | hasDJ","Bestselling companion book to Sagan's 13-part PBS television series, exploring the history of science, the cosmos, and humanity's place within it",,Own
Cosmos,Carl Sagan,1980,Random House,Popular Science / Cosmology,,Hardcover,365,9780394502949,First Edition,First Printing,$360,Uncommon; collectible first edition,9.3,"Very Good, hasDJ | Very Good (light shelf wear to dust jacket)","Companion to the PBS series exploring the universe, science, and civilization.",,Own
Dale Brown's Dreamland: Armageddon,Dale Brown & Jim DeFelice,2004,Jove,Techno-Thriller,Dreamland,Paperback,336,0-515-13791-X,First Jove edition,First,,Common; mass market paperback with abundant used copies in circulation,7.9,Fair | noDJ: mass market paperback with heavy wear consistent with a well-read reading copy,"While training Bruneian pilots on the EB-52 Megafortress, Captain Breanna Stockard and her husband Zen uncover a plot tied to a kidnapping attempt and a major arms deal that threatens to ignite the region. Sixth entry in Dale Brown's Dreamland series.",No,
Dale Brown's Dreamland: Piranha,Dale Brown & Jim DeFelice,2003,Jove,Techno-Thriller,Dreamland,Paperback,377,0-515-13581-X,First Jove edition,First,,Common; mass market paperback with abundant used copies in circulation,7.9,Very Good | noDJ: mass market paperback with light shelf wear,"When a Chinese freighter is sunk by a mysterious submarine-launched missile, the Dreamland team deploys Piranha, an experimental underwater probe, to investigate rising tensions between India and China. Fourth entry in Dale Brown's Dreamland series.",No,
Day of the Cheetah,Dale Brown,1989,Donald I. Fine,Techno-Thriller,Patrick McLanahan,Hardcover,504,1-55611-121-5,Later printing,,$10,Common; large mid-list hardcover print run with abundant used copies in circulation,8.1,Very Good | protectedDJ: hardcover with fair dust jacket showing noticeable wear housed in protective mylar,"A top-secret experimental fighter with a thought-controlled cockpit is stolen by a deep-cover KGB mole, forcing Patrick McLanahan and the crew of the Old Dog back into action to recover it. Fourth entry in Dale Brown's Patrick McLanahan series.",No,
Dead Names: The Dark History of the Necronomicon,Simon,2006,"Avon Books, an imprint of HarperCollins Publishers",Occult / Esoterica / History,,Paperback,336,978-0-06-078704-2,First Edition,Third Printing (April 2006 Avon paperback),$20,Common; of interest to occult and Lovecraftian collectors,7.2,Very Fine | Very Fine (VF): Paperback in excellent condition,"Simon's controversial account of the origins, mythology, and cultural history of the Necronomicon, blending occult lore with modern interpretations. Explores the supposed dark legacy behind one of esoterica's most infamous texts.",No,Own
Death Notice,Zhou Haohui,2014,Doubleday,Fiction,Death Notice Trilogy,Hardcover,305,0385543328,First Edition,1st Printing,$6.00,Common; a widely distributed first-translated-edition title with abundant surviving copies,78,"Good: moderate wear, hasDJ, protectedDJ","First novel in Zhou Haohui's bestselling Chinese crime trilogy, following an elite police squad's hunt for a vigilante mastermind who issues public execution notices for criminals the law has failed to punish.",No,Own
Desolation Island,Patrick O'Brian,1978,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 5",Hardcover,,0-393-03705-3,Norton Uniform Edition,"First Norton Uniform Edition, 1994",$20,"Uncommon; Norton Uniform Edition hardcover, more collectible than the mass-market paperback, but not scarce",8.80,"Near Fine, hasDJ | Near Fine book and dust jacket","Fifth novel in the Aubrey-Maturin series, following Captain Jack Aubrey and the HMS Leopard as they transport convicts to Botany Bay, contending with a deadly shipboard epidemic, brutal Southern Ocean storms, and a pursuing Dutch man-of-war. Second copy, distinct from the previously catalogued Norton mass-market paperback edition.",,Own
Desolation Island,Patrick O'Brian,1978,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 5",Paperback,350,0-393-30812-X,Norton Paperback Edition,1991 Norton paperback printing (number line to 3),$7,"Common; widely printed installment in a major historical fiction series, not scarce",8.80,"Near Fine, noDJ | Near Fine; trade paperback, no dust jacket as issued","Fifth novel in the Aubrey-Maturin series, following Captain Jack Aubrey and the HMS Leopard as they transport convicts to Botany Bay, contending with a deadly shipboard epidemic, brutal Southern Ocean storms, and a pursuing Dutch man-of-war.",,Own
Desperadoes,Ron Hansen,1979,"Alfred A. Knopf, Inc., New York",Western / Historical Fiction,,Hardcover with dust jacket,273,0-394-50350-3,First Edition,First Edition,$110,"Uncommon; author's acclaimed debut novel, signed first editions actively sought by collectors",7.76,"Near mint, protected dust jacket, only slightly shelf worn, signed by the author | protectedDJ","Fictional memoir narrated by Emmett Dalton, the last surviving member of the notorious Dalton Gang, recounting the group's rise and violent end at the failed Coffeyville, Kansas bank robbery",,Own
Desperation,Stephen King,1996,Viking Press,Horror / Thriller,,Hardcover,690,9780670867684,First Edition,First Printing,$40,Uncommon; collectible in first printing with pristine jacket,7.4,"Very Fine, hasDJ | Very Fine (VF): Excellent condition hardcover; near-perfect dust jacket","In the Nevada desert, travelers are ensnared in the desolate mining town of Desperation, where an ancient evil forces them into a terrifying fight for survival against a possessed lawman and supernatural forces.",No,Own
Dolores Claiborne,Stephen King,1993,Viking,Fiction / Thriller / Horror,,Hardcover with dust jacket,0,0-670-84402-0,"First Edition, First Printing",1993,$100,"Uncommon; collectible Stephen King title, premium for condition and first printing status",0,"Near Fine, protectedDJ | Near Fine; hardcover; near-perfect dust jacket protected in plastic","Stephen King's psychological thriller told entirely as a monologue by Dolores Claiborne, a woman accused of murder who recounts her life and dark secrets. This is a first edition, first printing in near-perfect condition with a protected dust jacket.",,Own
Doomsday Book,Connie Willis,1992,"The Easton Press, Norwalk, CT",Science Fiction / Time Travel,"Oxford Time Travel, Book 1",Hardcover,,,Easton Press Collector's Edition (Masterpieces of Science Fiction),2001 Easton Press special edition printing,$50,"Common; mass-produced leatherbound collectible series, widely available, not scarce",8.06,"Mint, noDJ | Mint; bonded leather binding, gilt edges, no dust jacket as issued","Winner of the Hugo, Nebula, and Locus Awards, this novel follows Kivrin, a time-traveling Oxford historian, who is accidentally sent to England in 1348 during the Black Death instead of her intended destination, while her colleagues in the future battle a mysterious epidemic of their own. Published by Easton Press with permission of Bantam Spectra, part of the Masterpieces of Science Fiction series with frontispiece by Jerry Vanderstelt.",,Own
"Dr. Bloodmoney, or How We Got Along After the Bomb",Philip K. Dick,0,"Ace Books, Inc., New York, NY",Science Fiction / Post-Apocalyptic,,Paperback,0,,First Ace paperback edition,1965,$15,"Uncommon; collectible for Philip K. Dick fans, early Ace paperbacks increasingly sought after",8.8,"Very Good | Very Good (VG); paperback; light shelf wear; tight binding, clean text block","A post-apocalyptic novel from Philip K. Dick, blending Cold War nuclear fears with the author's trademark psychological depth and surreal twists. Set in a California community after global catastrophe, it explores survival, paranoia, and human adaptability. This is the 1965 Ace Books first edition paperback.",,Own
"Dreams, A Portal to the Source",Edward C. Whitmont and Sylvia Brinton Perera,1989,Routledge,Psychology,,Paperback,208,0415064538,,Reprint (1996),$25.00,Uncommon; specialized Jungian dream-analysis text with a modest print run and limited copies in circulation,85,"Good: moderate wear, no dust jacket applicable (paperback)","A guide to dream interpretation by two Jungian analysts, covering the language of dream imagery, archetypal versus personal dream content, and the therapeutic use of dreams in clinical practice.",No,Own
Duma Key: A Novel,Stephen King,2008,Scribner,Horror,,Hardcover,611,978-1416552512,First Edition,First Printing,$100,Uncommon; collectible modern horror first edition,8,Very Fine | Very Fine (VF): Excellent condition; minor shelf wear,"After a terrible accident, Edgar Freemantle begins a new life on Duma Key, Florida—but his budding artistic abilities unleash mysterious and supernatural forces.",No,Own
Earthborn,Orson Scott Card,1995,"Tor Books (Tom Doherty Associates, Inc.)",Science Fiction,"Homecoming Saga, Book 5",Hardcover with dust jacket,0,0-312-93040-2,First Edition,"First Trade Edition, May 1995 (full number line to 1)",$18,"Common; large print run, not scarce, but desirable as a complete matched first-edition set",6.86,"Very Fine, hasDJ | Great condition; light dust jacket wear, mainly on top edges","Fifth and concluding volume of the Homecoming saga, set 500 years after the travelers' arrival on Earth, following Shedemei the Navigator as the mystery of the Keeper of Earth is finally revealed. Maps by Ellisa Mitchell.",,Own
Earthfall,Orson Scott Card,1995,"Tor Books (Tom Doherty Associates, Inc.)",Science Fiction,"Homecoming Saga, Book 4",Hardcover with dust jacket,0,0-312-93039-9,First Edition,"First Trade Edition, February 1995 (full number line to 1)",$18,"Common; large print run, not scarce, but desirable as a complete matched first-edition set",7.32,"Very Fine, hasDJ | Great condition; light dust jacket wear, mainly on top edges","Fourth volume of the Homecoming saga. The traveling family reaches the starport and departs aboard the starship Basilica for the long journey to Earth, as factional conflict between brothers Nafai and Elemak threatens to tear the tribe apart. Praised by Publishers Weekly and Kirkus Reviews on release.",,Own
Edgar Allan Poe: Tales of Mystery and Imagination,Edgar Allan Poe (illustrated by Harry Clarke; preface by Dr. Brook Haley),2019,"Arcturus Publishing Limited, London",Horror / Gothic / Short Stories,"Arcturus Slipcased Classics, #17",Hardcover with slipcase,0,978-1-83857-106-1,First Edition,First Printing,$18,"Common; widely available gift edition, not scarce",8.50,"Perfect condition, perfect slipcase","Collection of Poe's most celebrated gothic short stories, including 'The Fall of the House of Usher,' 'The Murders in the Rue Morgue,' and 'The Cask of Amontillado,' illustrated with Harry Clarke's art nouveau artwork",,Own
Edge,Jeffery Deaver,2010,"Simon & Schuster, New York",Mystery / Thriller / Crime Fiction,,Hardcover,,978-1-4391-5635-3,First Edition,"First Simon & Schuster Hardcover Edition, November 2010 (number line to 2)",$6,"Common; standalone bestselling thriller, widely available, not scarce",8.02,"Good, hasDJ | Good book and dust jacket","A standalone thriller following witness protection specialist Corte as he faces off against a ruthless information broker known as a 'lifter' in a high-stakes duel of tradecraft and psychological manipulation in Washington, D.C.",,Own
